ReleaseID,version,ClassName,LOC,NRtotal,NRpartial,NfixTotal,NfixPartial,NauthTotal,NauthPartial,locAddedTotal,locAddedPartial,churnTotal,ChurnPartial,maxChurnTotal,maxChurnPartial,avgChurnTotal,avgChurnPartial,age,chgSetTotal,chgSetPartial,maxChangeSetTotal,maxChangeSetPartial,avgChgSetTotal,avgChgSetPartial,smells,Buggy
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Strategy.java,131,2,2,0,0,1,1,131,131,131,131,131,131,65,65,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ENonTransState.java,76,4,4,0,0,1,1,153,153,154,154,77,77,38,38,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,1749,4,4,0,0,1,1,1757,1757,1758,1758,1748,1748,439,439,37,2451,2451,1049,1049,612,612,0,yes
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/Compatibility.java,139,4,4,0,0,1,1,289,289,289,289,139,139,72,72,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,508,5,5,0,0,1,1,1001,1001,1006,1006,513,513,201,201,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java,256,3,3,0,0,2,2,261,261,262,262,257,257,87,87,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/AbstractConcurrentEventManager.java,121,6,6,0,0,2,2,164,164,176,176,106,106,29,29,58,3190,3190,1031,1031,531,531,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Joins.java,72,3,3,0,0,2,2,76,76,76,76,71,71,25,25,37,2452,2452,1049,1049,817,817,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java,846,4,4,0,0,2,2,855,855,856,856,847,847,214,214,37,2520,2520,1049,1049,630,630,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/StrategyInstaller.java,67,2,2,0,0,1,1,67,67,67,67,67,67,33,33,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchPlan.java,424,6,6,0,0,2,2,963,963,1027,1027,463,463,171,171,45,3326,3326,1031,1031,554,554,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedEvent.java,49,4,4,0,0,1,1,99,99,99,99,49,49,24,24,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,344,9,9,0,0,2,2,394,394,413,413,352,352,45,45,37,2686,2686,1049,1049,298,298,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingExtent.java,182,5,5,0,0,1,1,383,383,394,394,193,193,78,78,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindKeyVariableExpression.java,44,4,4,0,0,1,1,88,88,88,88,44,44,22,22,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitEvent.java,183,5,5,0,0,1,1,372,372,376,376,187,187,75,75,45,3521,3521,1028,1028,704,704,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,403,2,2,0,0,1,1,403,403,403,403,403,403,201,201,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractSQLServerDictionary.java,151,2,2,0,0,1,1,151,151,151,151,151,151,75,75,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractClassStrategy.java,79,2,2,0,0,1,1,79,79,79,79,79,79,39,39,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/DetachOptions.java,157,4,4,0,0,1,1,314,314,314,314,157,157,78,78,45,3013,3013,1031,1031,753,753,0,no
