classPath,ruleName,priority,description,startLine,endLine
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `operation` on foreign value `exps` (degree 1)",502,502
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `operation` on foreign value `exps` (degree 1)",504,504
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `operation` on foreign value `exps` (degree 1)",506,506
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `grouping` on foreign value `exps` (degree 1)",521,521
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `grouping` on foreign value `exps` (degree 1)",532,532
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `having` on foreign value `exps` (degree 1)",543,543
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CognitiveComplexity,3,"The method 'evalOrderingClauses(QueryExpressions)' has a cognitive complexity of 20, current threshold is 15",546,546
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'evalOrderingClauses(QueryExpressions)' has a cyclomatic complexity of 10.",546,546
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `ordering` on foreign value `exps` (degree 1)",551,551
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingClauses` on foreign value `exps` (degree 1)",552,552
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingAliases` on foreign value `exps` (degree 1)",553,553
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `ascending` on foreign value `exps` (degree 1)",554,554
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `ordering` on foreign value `exps` (degree 1)",558,558
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingClauses` on foreign value `exps` (degree 1)",559,559
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingAliases` on foreign value `exps` (degree 1)",560,560
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `ascending` on foreign value `exps` (degree 1)",563,563
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,SimplifiedTernary,3,"This conditional expression can be simplified with || or &&",563,564
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingClauses` on foreign value `exps` (degree 1)",568,568
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingClauses` on foreign value `exps` (degree 1)",569,569
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `exps` (degree 1)",571,571
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projectionAliases` on foreign value `exps` (degree 1)",572,572
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `orderingAliases` on foreign value `exps` (degree 1)",573,573
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `ordering` on foreign value `exps` (degree 1)",574,574
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `exps` (degree 1)",574,574
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'evalSelectClause(QueryExpressions)' has a cyclomatic complexity of 12.",582,582
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `operation` on foreign value `exps` (degree 1)",583,583
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `distinct` on foreign value `exps` (degree 1)",591,591
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `distinct` on foreign value `exps` (degree 1)",594,594
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `parent` on foreign value `selectClause` (degree 1)",606,606
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `distinct` on foreign value `exps` (degree 1)",607,607
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `distinct` on foreign value `exps` (degree 1)",623,623
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `exps` (degree 1)",624,624
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `exps` (degree 1)",629,629
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projectionAliases` on foreign value `exps` (degree 1)",630,630
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projectionClauses` on foreign value `exps` (degree 1)",631,631
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `meta` on foreign value `ctx()` (degree 1)",640,640
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'evalFetchJoins(QueryExpressions)' has a cyclomatic complexity of 10.",645,645
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `fetchPaths` on foreign value `exps` (degree 1)",668,668
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `fetchInnerPaths` on foreign value `exps` (degree 1)",671,671
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `from` (degree 1)",712,712
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `from` (degree 1)",713,713
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `node` (degree 2)",715,715
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `node` (degree 2)",717,717
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `node` (degree 2)",719,719
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `node` (degree 2)",721,721
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `node` (degree 2)",723,723
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",835,835
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",879,879
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AssignmentInOperand,3,"Avoid assignments in operands",909,909
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AssignmentInOperand,3,"Avoid assignments in operands",911,911
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AssignmentInOperand,3,"Avoid assignments in operands",913,913
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,SimplifyBooleanReturns,3,"This if statement can be replaced by `return {condition};`",944,945
